iteration,avg_price,cash_and_stock,cash,stock_value,action,position
204,49.1371,1520283.97,499265.08,1021018.89,1,1
205,49.8874,1535876.01,499265.08,1036610.93,1,1
206,50.5753,1550168.72,499265.08,1050903.64,1,1
207,52.1511,1582912.01,499265.08,1083646.93,1,1
208,53.2766,1606300.07,499265.08,1107034.99,1,1
209,52.3762,1587589.62,499265.08,1088324.54,1,1
210,52.4512,1589148.82,499265.08,1089883.74,1,1
211,52.3512,1587069.89,499265.08,1087804.81,1,1
212,52.5262,1590708.03,499265.08,1091442.95,1,1
213,52.6763,1593826.44,499265.08,1094561.36,1,1
214,49.1746,1521063.57,499265.08,1021798.49,1,1
215,48.6243,1509629.41,499265.08,1010364.33,1,1
216,48.4992,1507030.74,499265.08,1007765.66,1,1
217,49.4997,1527820.13,499265.08,1028555.05,1,1
218,49.8749,1535616.15,499265.08,1036351.07,1,1
219,49.4747,1527300.39,499265.08,1028035.31,1,1
220,50.8254,1555366.07,499265.08,1056100.99,1,1
221,50.7754,1554326.6,499265.08,1055061.52,1,1
222,50.8254,1555366.07,499265.08,1056100.99,1,1
223,50.9004,1556925.27,499265.08,1057660.19,1,1
224,50.3251,1544971.37,499265.08,1045706.29,1,1
225,49.8999,1536135.88,499265.08,1036870.8,1,1
226,49.4247,1526260.92,499265.08,1026995.84,1,1
227,49.2871,1523402.38,499265.08,1024137.3,1,1
228,48.8994,1515346.49,499265.08,1016081.41,1,1
229,48.2616,1502093.26,499265.08,1002828.18,1,1
230,48.8869,1515086.62,499265.08,1015821.54,1,1
231,49.6123,1530158.93,499265.08,1030893.85,1,1
232,50.05,1539254.29,499265.08,1039989.21,1,1
233,49.7749,1533537.21,499265.08,1034272.13,1,1
234,49.975,1537695.09,499265.08,1038430.01,1,1
235,50.6628,1551987.79,499265.08,1052722.71,1,1
236,51.0755,1560563.41,499265.08,1061298.33,1,1
237,50.8754,1556405.54,499265.08,1057140.46,1,1
238,50.6753,1552247.66,499265.08,1052982.58,1,1
239,51.1756,1562642.35,499265.08,1063377.27,1,1
240,55.2526,1647359.12,499265.08,1148094.04,1,1
241,55.1526,1645280.18,499265.08,1146015.1,1,1
242,53.1015,1602661.93,499265.08,1103396.85,1,1
243,54.3772,1629168.4,499265.08,1129903.32,1,1
244,54.7524,1636964.42,499265.08,1137699.34,1,1
245,56.5533,1674385.32,499265.08,1175120.24,1,1
246,55.2526,1647359.12,499265.08,1148094.04,1,1
247,54.7274,1636444.69,499265.08,1137179.61,1,1
248,56.1531,1666069.57,499265.08,1166804.49,1,1
249,56.9535,1682701.08,499265.08,1183436.0,1,1
250,56.7784,1679062.93,499265.08,1179797.85,1,1
251,57.4787,1693615.51,499265.08,1194350.43,1,1
252,59.3797,1733115.35,499265.08,1233850.27,1,1
253,57.7539,1699332.59,499265.08,1200067.51,1,1
254,56.6033,1675424.79,499265.08,1176159.71,1,1
255,53.4017,1608898.74,499265.08,1109633.66,1,1
256,51.8259,1576155.46,499265.08,1076890.38,1,1
257,50.8129,1555106.2,499265.08,1055841.12,1,1
258,52.4262,1588629.09,499265.08,1089364.01,1,1
259,52.6013,1592267.23,499265.08,1093002.15,1,1
260,53.1015,1602661.93,499265.08,1103396.85,1,1
261,52.8264,1596944.85,499265.08,1097679.77,1,1
